feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
wavelet-HHH_glcm_Autocorrelation,0.029232155600035933,0.27285231232643126,0.056846468906952836,0.24852459016393444,0.15147540983606558,-0.22745729097215808,4.40859255329858
lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.028558603289873013,0.2783494181185961,0.0601148592248364,0.07475409836065573,0.12524590163934426,0.4277662961814173,3.873428409509975
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.028387367251698603,0.4022394017316401,0.06747668791459187,0.057049180327868855,0.14295081967213114,2.231126724210805,9.636112405326179
wavelet-HLH_gldm_DependenceEntropy,0.027600164975833553,0.3031501942127943,0.05407912581086691,0.24065573770491802,0.15934426229508197,1.4412574112581256,6.125284962642073
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,0.027309200379594424,0.22100612888112664,0.04144870022396635,0.2019672131147541,0.1980327868852459,-0.10040851665488448,3.1093734260464805
lbp-3D-k_firstorder_Variance,0.02709801676371669,0.2088905031979084,0.0559722385190694,0.10754098360655738,0.09245901639344262,-0.8636388149622761,2.9982133402688635
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.027054879016105506,0.5888093073293567,0.07683866850153487,0.16393442622950818,0.036065573770491806,-3.486111696351743,20.518430719850326
logarithm_glszm_LowGrayLevelZoneEmphasis,0.02702970109467745,0.24128426518291235,0.04846321215301915,0.23868852459016393,0.16131147540983606,0.8445552054068944,3.9988836019844287
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.027003240103942557,0.5275721431523561,0.04427630990692185,0.2937704918032787,0.3062295081967213,2.488059110761755,27.540933752722246
log-sigma-3-0-mm-3D_glcm_MCC,0.02622527119549083,0.44618725337088105,0.06610471543617828,0.28327868852459015,0.31672131147540983,-2.47369854502863,17.416039955840887
gradient_glcm_Idn,0.025880696506558568,0.32937733322381973,0.05359805349034891,0.1980327868852459,0.2019672131147541,-2.4394419163290837,10.05720392239348
squareroot_glszm_SizeZoneNonUniformity,0.02422258096449002,0.219638727363199,0.04800219582263357,0.21770491803278688,0.1822950819672131,1.0922930245365399,3.9563219077079372
